"_id","seller_name","supplier_code","asin_count","last_update_time"
"ObjectId(""66e9af18127f1c933f6c4aad"")","CDKeys","https://www.cdkeys.com",37,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aae"")","gog.com","https://www.gog.com",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aaf"")","Eclipse Cards","https://eclipsecards.com",3,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab0"")","Magic Madhouse","https://magicmadhouse.co.uk",103,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab1"")","Smiffys.com","https://www.smiffys.com",79,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab2"")","Your IT Delivered","http://www.youritdelivered.com",46,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab3"")","CeXOpens in a new window","https://uk.webuy.com",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab4"")","Next","https://www.next.co.uk",48,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab5"")","Speedo UK","https://www.speedo.com",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab6"")","John Lewis & Partners","https://www.johnlewis.com",133,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab7"")","Very","https://www.very.co.uk",159,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab8"")","www.schoolwearunited.co.uk","https://www.schoolwearunited.co.uk",3,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ab9"")","Decathlon UK","https://www.decathlon.co.uk",93,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aba"")","Homebase","https://www.homebase.co.uk",16,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4abb"")","DigiKey UKOpens in a new window","https://www.digikey.co.uk",10,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4abc"")","Screwfix.com","https://www.screwfix.com",91,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4abd"")","Building Materials","https://www.buildingmaterials.co.uk",28,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4abe"")","JRS Industrial Supplies","https://jrsindustrial.co.uk",75,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4abf"")","directtoolsales.co.uk","https://www.directtoolsales.co.uk",9,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac0"")","Cassells Industrial","https://www.ciponline.co.uk",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac1"")","Asda Groceries","https://groceries.asda.com",481,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac2"")","Power Tool World","https://www.powertoolworld.co.uk",34,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac3"")","Replenishh","https://www.replenishh.com",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac4"")","Axminster Tools","https://www.axminstertools.com",8,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac5"")","Kelvin Power Tools","https://www.kelvinpowertools.com",19,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac6"")","Aluminium Warehouse","https://www.aluminiumwarehouse.co.uk",4,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac7"")","Build & Plumb","https://www.buildandplumb.co.uk",20,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac8"")","Rapid Electronics","https://www.rapidonline.com",50,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ac9"")","Power Tools UK","https://www.powertoolsuk.co.uk",17,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4aca"")","Zoro","https://www.zoro.co.uk",186,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4acb"")","sainsburys.co.uk","https://www.sainsburys.co.uk",397,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4acc"")","AOS Online","https://www.aosonline.co.uk",79,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4acd"")","GS Workwear","https://gsworkwear.com",45,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ace"")","Office Monster","https://www.officemonster.co.uk",22,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4acf"")","Hobbycraft","https://www.hobbycraft.co.uk",38,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad0"")","Toolden","https://www.toolden.co.uk",55,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad1"")","Power Tools Direct","https://www.powertoolsdirect.com",129,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad2"")","ClarkeFencingLtd","https://clarkefencing.co.uk",15,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad3"")","Fixings Store","https://www.fixingsstore.com",20,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad4"")","Office Supply Store","https://www.officesupplystore.co.uk",11,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad5"")","Office Needs Group","https://www.officeneedsgroup.co.uk",26,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad6"")","Tannas","https://www.tannas.co.uk",27,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad7"")","Selfmade.com","https://www.selfmade.com",5,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad8"")","Ritohobby.co.ukOpens in a new window","https://ritohobby.co.uk",11,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ad9"")","BuysBest","https://www.buysbest.co.uk",50,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ada"")","EnviroMedia Group","https://enviro-media.co.uk",302,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4adb"")","B&Q","https://www.diy.com",587,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4adc"")","Toolstation","https://www.toolstation.com",70,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4add"")","Stalbridge Building Supplies","https://www.stalbridgebuildingsupplies.co.uk",25,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ade"")","Home Hardware Direct","https://homehardwaredirect.co.uk",28,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4adf"")","ManoMano.co.ukOpens in a new window","https://www.manomano.co.uk",314,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae0"")","Essentials Fix","https://www.essentialsfix.co.uk",62,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae1"")","The Hardware Shop","https://hardwareshops.co.uk",6,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae2"")","Enna T","https://www.ennat.co.uk",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae3"")","Square Deal Parts","https://www.square-deal.co.uk",1,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae4"")","SimplyGames.com","https://www.simplygames.com",50,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae5"")","Coolshop.co.uk","https://www.coolshop.co.uk",269,"2024-09-17 16:32:20"
"ObjectId(""66e9af18127f1c933f6c4ae6"")","Luvyababes","https://www.luvyababes.co.uk",26,"2024-09-17 16:32:20"
